"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.077921385E0,2.983900905E-1,-3.604464531E-1,-3.630971909E-2
2.087921418E0,2.474624217E-1,-3.198561668E-1,7.544326782E-2
2.097921384E0,3.362390399E-2,-5.422782898E-2,6.513786316E-2
2.107921417E0,-1.453057826E-1,2.823944092E-1,4.403924942E-2
2.117921450E0,-4.925039411E-2,3.188533783E-1,7.325172424E-3
2.127921416E0,9.776499867E-2,6.294250488E-2,-1.969003677E-2
2.137921416E0,1.730988473E-1,-2.454690933E-1,-1.261172295E-1
2.147921382E0,1.474506408E-1,-5.178523064E-1,-2.852535248E-1
2.157921382E0,-4.067501426E-2,-5.426878929E-1,-4.423384666E-1
2.167921415E0,-2.462126613E-1,-1.720986366E-1,-5.377731323E-1
2.177921381E0,-2.446267307E-1,-1.754288673E-1,-5.326533318E-1
2.187921381E0,-9.118774533E-2,2.794733047E-1,-3.603892326E-1
2.197921414E0,6.703993678E-2,1.291894913E-1,-1.540822983E-1
2.207921414E0,1.071507335E-1,-2.098746300E-1,-6.358909607E-2
2.217921447E0,1.167455316E-2,-3.892517090E-1,-5.393981934E-2
2.227921380E0,-1.800062060E-1,-3.173131943E-1,-4.676246643E-2
2.237921413E0,-2.232630253E-1,-1.073770523E-1,4.409027100E-2
2.247921446E0,-9.419080615E-2,7.929992676E-2,1.530337334E-1
2.257921412E0,7.991015911E-3,1.632032394E-1,2.469506264E-1
2.267921378E0,-7.055288553E-2,2.563285828E-1,2.026410103E-1
2.277921378E0,8.942055702E-2,2.480792999E-1,1.862125397E-1
2.287921411E0,9.167569876E-2,2.487602234E-1,1.853380203E-1
2.297921411E0,4.473703206E-1,-6.249971390E-1,4.415655136E-2
2.307921377E0,1.119511127E-1,-5.030341148E-1,-2.066807747E-1
2.317921410E0,-8.817324042E-2,3.894901276E-2,-3.763365746E-1
2.327921443E0,8.350074291E-3,5.550680161E-1,-4.283084869E-1
2.337921409E0,7.208615541E-3,5.514278412E-1,-4.228200912E-1
2.347921409E0,3.727416694E-1,2.603540421E-1,-1.612596512E-1
2.357921475E0,2.751488388E-1,3.209781647E-2,-8.499383926E-2
2.367921508E0,2.054786384E-1,-1.421823502E-1,-7.765150070E-2
2.377921441E0,2.137917131E-1,-2.190322876E-1,-8.473110199E-2
2.387921407E0,2.134239823E-1,-2.656383514E-1,-3.184270859E-2
2.397921440E0,1.545106024E-1,-1.936540604E-1,-4.741191864E-3
2.407921373E0,1.324698329E-2,1.468534470E-1,3.371238708E-4
2.417921339E0,3.552213311E-2,5.729703903E-1,-5.605220795E-3
2.427921339E0,3.538751602E-2,5.745763779E-1,-8.088588715E-3
2.437921372E0,4.569113851E-1,3.723659515E-1,3.560767174E-1
2.447921405E0,2.364661843E-1,2.433204651E-2,3.655323982E-1
2.457921371E0,2.358102053E-1,2.600193024E-2,3.629341125E-1
2.467921404E0,-2.530343533E-1,5.012874603E-1,2.678146362E-1
2.477921437E0,-1.664857566E-1,8.658065796E-1,3.722715378E-1
2.487921437E0,1.931637526E-2,1.072045326E0,5.630469322E-1
2.497921403E0,1.452666521E-2,1.072863579E0,5.614657402E-1
2.507921403E0,3.370964527E-1,5.096254349E-1,5.178070068E-1
2.517921403E0,1.587393135E-1,2.036561966E-1,3.792471886E-1
2.527921436E0,1.305003315E-1,1.986598969E-1,4.058156013E-1
2.537921402E0,1.264457405E-1,2.742614746E-1,4.180283546E-1
2.547921402E0,1.316305995E-2,4.871673584E-1,4.721565247E-1
2.557921435E0,4.844284058E-2,5.062246323E-1,4.711127281E-1
2.567921435E0,1.217434704E-1,2.059574127E-1,4.020175934E-1
2.577921468E0,1.328057051E-1,-4.531478882E-2,2.367177010E-1
2.587921434E0,8.659318089E-2,-2.430782318E-1,-4.593658447E-2
2.597921467E0,6.186991930E-2,-2.729840279E-1,-2.296190262E-1
2.607921500E0,-1.320731640E-2,-2.655258179E-1,-3.424491882E-1
2.617921100E0,-7.620468736E-2,-2.324266434E-1,-4.063491821E-1
2.627920400E0,-9.721812606E-2,-1.637139320E-1,-5.129756927E-1
2.637920433E0,-1.655075252E-1,-1.831626892E-2,-6.033678055E-1
2.647919799E0,1.961764693E-2,-9.074401855E-2,-4.586215019E-1
2.657918865E0,2.693224549E-1,-5.645909309E-1,-3.680629730E-1
2.667917965E0,2.051866204E-1,-1.082210064E0,-4.093909264E-1
2.677918031E0,1.705139875E-3,-1.179384708E0,-4.982662201E-1
2.687917364E0,-2.872329652E-1,-8.640170097E-1,-4.922561646E-1
2.697916664E0,-2.741416693E-1,-4.283819199E-1,-4.223918915E-1
2.707916664E0,-1.019994318E-1,-5.002784729E-2,-2.068424225E-1
2.717916730E0,-1.009621322E-1,-4.520702362E-2,-2.139496803E-1
2.727916796E0,2.904278040E-1,-3.978877068E-1,-2.271027565E-1
2.737916762E0,1.380831003E-1,-5.766463280E-1,-4.231586456E-1
2.747916728E0,1.452527940E-1,-5.740094185E-1,-4.265627861E-1
2.757916761E0,-3.327828646E-1,-2.548990250E-1,-5.405006409E-1
2.767916694E0,-3.006086349E-1,4.656314850E-2,-3.118586540E-1
2.777916660E0,-1.534582376E-1,2.608890533E-1,-4.833650589E-2
2.787916626E0,-1.699100435E-1,5.154333115E-1,3.897118568E-1
2.797916659E0,-7.190907001E-2,5.678882599E-1,5.314426422E-1
2.807916692E0,-7.502231002E-2,4.442176819E-1,7.411313057E-1
2.817916658E0,-6.585997343E-2,4.591236115E-1,7.202534676E-1
2.827916691E0,-2.979862690E-1,3.195123672E-1,7.743730545E-1
2.837916724E0,-2.972855270E-1,3.431844711E-1,5.646390915E-1
2.847916690E0,-3.902277052E-1,4.967699051E-1,6.799640656E-1
2.857916690E0,-4.024074078E-1,6.607031822E-1,8.232545853E-1
2.867916690E0,-2.367776632E-1,6.627898216E-1,8.179688454E-1
2.877916690E0,-3.615176678E-2,6.194772720E-1,6.890788078E-1
2.887916756E0,-5.700409412E-2,5.787439346E-1,4.650964737E-1
