"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.871026104E0,-2.336559631E-2,2.280818075E-1,9.430231899E-2
1.881026104E0,-1.374446787E-3,1.627192348E-1,6.620252132E-2
1.891026137E0,2.000583708E-2,7.719809562E-2,1.122464892E-2
1.901026137E0,3.466660157E-2,2.290744742E-4,-2.970332280E-2
1.911026070E0,2.733621933E-2,-6.207918003E-2,-2.848159149E-2
1.921026703E0,3.512475174E-3,-1.127809957E-1,-9.926559869E-4
1.931027436E0,-1.359175146E-2,-1.384373307E-1,1.122464892E-2
1.941027402E0,-1.237002108E-2,-1.237765700E-1,-1.015563495E-2
1.951028035E0,-8.093964309E-3,-6.818783283E-2,-3.825543448E-2
1.961028935E0,-2.275473066E-2,5.337435007E-2,-1.603521290E-3
1.971029635E0,-5.329799280E-2,1.034653038E-1,4.665483162E-2
1.981030301E0,-7.162395120E-2,1.224021241E-1,4.970915988E-2
1.991030401E0,-5.574145541E-2,1.199586615E-1,6.337726954E-3
2.001030334E0,-2.214386500E-2,1.059087589E-1,-3.336851299E-2
2.011030334E0,7.788531948E-3,6.925684959E-2,-3.031418845E-2
2.021030534E0,2.367102914E-2,6.337726954E-3,8.170322515E-3
2.031030500E0,2.977968007E-2,-6.207918003E-2,4.665483162E-2
2.041030533E0,2.977968007E-2,-9.628763795E-2,4.298964143E-2
2.051030533E0,2.183843218E-2,-7.307475805E-2,-2.054034360E-2
2.061030533E0,1.069014193E-3,-3.581197560E-2,-4.680754989E-2
2.071030499E0,-2.458732575E-2,-7.101308554E-3,-5.169447139E-2
2.081030532E0,-4.108068720E-2,2.061670180E-3,-5.047274008E-2
2.091030565E0,-3.863722831E-2,-4.046982154E-3,-5.413793400E-2
2.101030531E0,-2.336559631E-2,-1.687515154E-2,-4.986187443E-2
2.111030564E0,-8.704829961E-3,-3.642284125E-2,-2.848159149E-2
2.121030597E0,-6.872233935E-3,-5.291620269E-2,1.122464892E-2
2.131030563E0,-1.237002108E-2,-4.253149405E-2,4.543310404E-2
2.141030563E0,-1.603521220E-2,3.199406713E-2,7.047858089E-2
2.151030529E0,-1.664607786E-2,8.147415519E-2,7.475463301E-2
2.161030529E0,-1.725694351E-2,1.132391468E-1,7.780896127E-2
2.171030562E0,-2.458732575E-2,1.254564524E-1,8.025242388E-2
2.181030528E0,-3.191770986E-2,1.248455867E-1,7.292203605E-2
2.191030528E0,-3.375030309E-2,1.052978933E-1,4.909829423E-2
2.201030561E0,-3.375030309E-2,7.170030475E-2,1.061378326E-2
2.211030561E0,-3.008511290E-2,1.916589774E-2,-2.725986205E-2
2.221030594E0,-2.764165215E-2,-4.436408728E-2,-6.024658307E-2
2.231030527E0,-3.375030309E-2,-1.347721517E-1,-7.307475805E-2
2.241030560E0,-4.230241850E-2,-1.763109863E-1,-5.902485549E-2
2.251030593E0,-4.291328415E-2,-1.824196279E-1,-4.436408728E-2
2.261030559E0,-3.619376570E-2,-1.439351290E-1,-3.581197560E-2
2.271030525E0,-2.092213556E-2,-6.024658307E-2,-2.787072770E-2
2.281030525E0,-1.114829071E-2,2.405281924E-2,-1.015563495E-2
2.291030558E0,2.901609987E-3,8.269587904E-2,2.061670180E-3
2.301030558E0,2.428189293E-2,1.181260645E-1,-7.101308554E-3
2.311030524E0,4.871650413E-2,1.382846236E-1,-7.712173741E-3
2.321030557E0,6.643159688E-2,1.187369302E-1,2.710714564E-2
2.331030590E0,5.604688451E-2,6.925684959E-2,4.787656292E-2
2.341030556E0,3.344487399E-2,9.392052889E-3,4.360050708E-2
2.351030556E0,1.023199316E-2,-2.237293869E-2,1.427897532E-2
2.361030622E0,-8.704829961E-3,-2.664899640E-2,-1.382082608E-2
2.371030655E0,-2.886338346E-2,-1.687515154E-2,-1.992947794E-2
2.381030588E0,-4.902193695E-2,3.283400787E-3,-1.504255645E-2
2.391030554E0,-6.429356337E-2,3.016147204E-2,-1.137736533E-2
2.401030587E0,-6.551529467E-2,4.970915988E-2,-1.198823005E-2
2.411030520E0,-5.574145541E-2,5.887213722E-2,-5.879578181E-3
2.421030486E0,-5.513058975E-2,5.276348442E-2,-3.817907709E-4
2.431030486E0,-6.062837690E-2,2.649627998E-2,-1.198823005E-2
2.441030519E0,-5.574145541E-2,-2.825251780E-3,-4.741841555E-2
2.451030552E0,-3.741549700E-2,-2.603813075E-2,-8.345946670E-2
2.461030518E0,-1.786780916E-2,-4.802928120E-2,-9.323330969E-2
2.471030551E0,-7.483099122E-3,-8.101600409E-2,-7.002042979E-2
