"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.877973187E2,5.234699400E1,4.876955195E0,1.547425237E0,3.431670881E0,2.644602966E2,1.424308667E1,1.007746572E1
5.887973177E2,5.234699307E1,4.876899800E0,1.842745836E0,3.589736271E0,2.678837891E2,1.424279080E1,1.007788389E1
5.897973174E2,5.234699125E1,4.876846255E0,1.664439905E0,3.649217230E0,2.668281860E2,1.424362271E1,1.007670807E1
5.907973163E2,5.234698630E1,4.876783915E0,1.585371140E0,4.057980138E0,2.669941101E2,1.424352482E1,1.007684643E1
5.917973155E2,5.234697868E1,4.876722159E0,1.752506253E0,4.212262269E0,2.680957031E2,1.424362579E1,1.007670371E1
5.927973143E2,5.234697372E1,4.876661741E0,1.677367293E0,4.183436237E0,2.661949768E2,1.424368356E1,1.007662205E1
5.937973138E2,5.234697065E1,4.876598206E0,1.729196308E0,4.226023989E0,2.668852844E2,1.424381095E1,1.007644197E1
5.947973125E2,5.234696671E1,4.876530303E0,2.039056977E0,4.438221685E0,2.668852844E2,1.424398365E1,1.007619784E1
5.957973115E2,5.234695803E1,4.876464267E0,2.077095766E0,4.489946235E0,2.693505859E2,1.424407364E1,1.007607064E1
5.967973105E2,5.234695755E1,4.876397156E0,1.918540846E0,4.520639018E0,2.686285095E2,1.424358973E1,1.007675468E1
5.977973094E2,5.234695657E1,4.876330223E0,2.073918457E0,4.513256504E0,2.686285095E2,1.424415964E1,1.007594905E1
5.987973086E2,5.234695546E1,4.876254194E0,2.165599504E0,4.857598625E0,2.686285095E2,1.424437232E1,1.007564838E1
5.997973077E2,5.234695414E1,4.876188838E0,1.846566849E0,4.664195871E0,2.686285095E2,1.424424547E1,1.007582773E1
6.007973065E2,5.234695110E1,4.876115379E0,2.079251819E0,4.827441292E0,2.686285095E2,1.424449488E1,1.007547512E1
6.017973055E2,5.234694690E1,4.876049703E0,2.420328056E0,4.651013158E0,2.686285095E2,1.424455301E1,1.007539294E1
6.027973052E2,5.234694492E1,4.875975382E0,2.518566630E0,4.867176557E0,2.686285095E2,1.424436880E1,1.007565336E1
6.037973039E2,5.234694198E1,4.875905439E0,2.501789163E0,4.821712271E0,2.678440552E2,1.424430656E1,1.007574136E1
6.047973043E2,5.234694025E1,4.875834337E0,2.422016946E0,4.844722741E0,2.678440552E2,1.424449483E1,1.007547519E1
6.057973026E2,5.234693870E1,4.875758210E0,2.648417158E0,5.047024230E0,2.678440552E2,1.424434892E1,1.007568147E1
6.067973022E2,5.234693527E1,4.875684205E0,2.804160958E0,5.069866974E0,2.667559814E2,1.424429444E1,1.007575849E1
6.077972999E2,5.234692884E1,4.875611413E0,2.762501350E0,5.040607469E0,2.667559814E2,1.424333791E1,1.007711062E1
6.087972990E2,5.234692256E1,4.875537937E0,3.084324242E0,5.011688777E0,2.667559814E2,1.424229959E1,1.007857805E1
6.097972988E2,5.234691837E1,4.875460967E0,2.917532341E0,5.126995350E0,2.667559814E2,1.424232870E1,1.007853692E1
6.107972975E2,5.234691114E1,4.875387910E0,2.939869891E0,5.060381753E0,2.667559814E2,1.424269103E1,1.007802488E1
6.117972971E2,5.234690578E1,4.875312603E0,2.743705197E0,5.086200945E0,2.667559814E2,1.424270311E1,1.007800781E1
6.127972964E2,5.234690222E1,4.875237311E0,3.102079868E0,5.113941277E0,2.662705688E2,1.424207158E1,1.007890026E1
6.137972955E2,5.234690003E1,4.875164244E0,3.118804584E0,5.049742277E0,2.662705688E2,1.424219285E1,1.007872889E1
6.147972939E2,5.234689725E1,4.875092223E0,2.787909372E0,4.965286144E0,2.662705688E2,1.424221833E1,1.007869289E1
6.157972928E2,5.234689362E1,4.875017006E0,3.465906125E0,5.060438197E0,2.662705688E2,1.424181674E1,1.007926035E1
6.167972919E2,5.234688931E1,4.874945199E0,3.614636994E0,4.988829202E0,2.662705688E2,1.424220216E1,1.007871574E1
6.177972909E2,5.234688845E1,4.874873431E0,3.367974795E0,4.926695086E0,2.662705688E2,1.424230436E1,1.007857132E1
6.187972903E2,5.234688666E1,4.874799801E0,3.123876206E0,4.980335384E0,2.663123474E2,1.424286516E1,1.007777879E1
6.197972894E2,5.234688268E1,4.874728611E0,3.432684349E0,4.888895876E0,2.663123474E2,1.424299056E1,1.007760157E1
6.207972877E2,5.234688131E1,4.874655089E0,3.519511062E0,4.950356055E0,2.663123474E2,1.424306471E1,1.007749676E1
6.217972872E2,5.234688065E1,4.874583483E0,3.250051924E0,4.894966941E0,2.663123474E2,1.424327469E1,1.007719998E1
6.227972865E2,5.234687665E1,4.874517030E0,3.206919247E0,4.717366649E0,2.663123474E2,1.424356638E1,1.007678768E1
6.237972854E2,5.234687485E1,4.874446167E0,3.392501340E0,4.758005618E0,2.663123474E2,1.424366499E1,1.007664830E1
6.247972835E2,5.234687311E1,4.874377930E0,3.406212557E0,4.695833894E0,2.663123474E2,1.424368419E1,1.007662116E1
6.257972840E2,5.234687459E1,4.874315282E0,3.344725912E0,4.442383458E0,2.693563396E2,1.424386654E1,1.007636339E1
6.267972838E2,5.234687006E1,4.874239761E0,3.650809842E0,4.717836597E0,2.663179233E2,4.742622122E0,3.366314371E0
6.277972807E2,5.234687019E1,4.874167412E0,3.909937981E0,4.711540039E0,2.664574330E2,4.743119615E0,3.365613369E0
6.287972798E2,5.234687189E1,4.874095860E0,4.010828406E0,4.672305848E0,2.693072220E2,4.742833159E0,3.366017031E0
6.297972798E2,5.234687702E1,4.874022914E0,3.968030612E0,4.829710083E0,2.748608328E2,4.742431053E0,3.366583541E0
6.307972789E2,5.234687819E1,4.873949378E0,3.924999960E0,4.877315847E0,2.726775913E2,4.742208346E0,3.366897242E0
6.317972779E2,5.234687348E1,4.873883641E0,3.822788572E0,4.615022037E0,2.677915605E2,4.742560673E0,3.366400941E0
6.327972775E2,5.234687645E1,4.873812746E0,4.051809168E0,4.684569245E0,2.717423873E2,4.742425014E0,3.366592048E0
6.337972760E2,5.234687882E1,4.873743161E0,3.969869038E0,4.719341822E0,2.738788970E2,4.742265125E0,3.366817268E0
