"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.417429660E-1,7.757213712E-1,6.512527943E0,7.022492886E0
3.437430660E-1,6.967126727E-1,6.500556946E0,7.032069683E0
3.457407020E-1,6.320692301E-1,6.490980148E0,7.039252281E0
3.477385350E-1,5.770025849E-1,6.488585949E0,7.048829079E0
3.497365350E-1,5.315127969E-1,6.486191750E0,7.056011677E0
3.517346770E-1,4.932055473E-1,6.488585949E0,7.065588474E0
3.537332770E-1,4.572925270E-1,6.493374348E0,7.079953671E0
3.557320890E-1,4.285621047E-1,6.498162746E0,7.091924667E0
3.577320890E-1,3.998316824E-1,6.505345345E0,7.108684063E0
3.597320890E-1,3.734954596E-1,6.524498940E0,7.135020256E0
3.617321410E-1,3.543418646E-1,6.548440933E0,7.163750648E0
3.637321910E-1,3.447650373E-1,6.579565525E0,7.192481041E0
3.657322380E-1,3.375824392E-1,6.608295918E0,7.216423035E0
3.677322830E-1,3.423708379E-1,6.641814709E0,7.240365028E0
3.697323260E-1,3.495534360E-1,6.670545101E0,7.261912823E0
3.717323670E-1,3.663128614E-1,6.699275494E0,7.281066418E0
3.737324070E-1,3.854664862E-1,6.728005886E0,7.300220490E0
3.757324070E-1,4.046200812E-1,6.754342079E0,7.319374084E0
3.777324070E-1,4.357447028E-1,6.783072472E0,7.343316078E0
3.797319780E-1,4.812345505E-1,6.802226067E0,7.374440670E0
3.817319780E-1,5.410895944E-1,6.816591740E0,7.417536259E0
3.837319780E-1,7.206547260E-1,6.780678272E0,7.518092632E0
3.857311440E-1,8.643068075E-1,6.751947880E0,7.597101212E0
3.877302770E-1,9.935936928E-1,6.716034889E0,7.671321392E0
3.897293770E-1,1.108515382E0,6.677727699E0,7.743147373E0
3.917284770E-1,1.199495077E0,6.646603107E0,7.800608635E0
3.937283770E-1,1.285686255E0,6.615478516E0,7.855675220E0
3.957278430E-1,1.352723956E0,6.589142323E0,7.901165009E0
3.977277760E-1,1.417367458E0,6.560411930E0,7.946654797E0
3.997277420E-1,1.482010841E0,6.517316341E0,7.999327183E0
4.017277080E-1,1.537077546E0,6.474220753E0,8.044816971E0
4.037276740E-1,1.577778935E0,6.423942566E0,8.102277756E0
4.057284400E-1,1.604115129E0,6.380846977E0,8.152556419E0
