"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.523087208E0,4.078520626E-2,4.619885087E-3,-1.834967369E-1
1.533040208E0,4.767483428E-2,5.452937901E-2,-3.138645029E-1
1.542994208E0,3.139611281E-2,9.172351778E-2,-3.308255213E-1
1.552947208E0,4.917230621E-2,1.263796726E-1,-2.610419261E-1
1.562901208E0,6.167913504E-2,8.982141852E-2,-1.124185681E-1
1.572855208E0,6.177641809E-2,5.582716852E-2,2.833677649E-2
1.582808208E0,7.095903173E-2,9.029270411E-3,1.664181894E-1
1.592762208E0,8.127622448E-2,-3.888690770E-2,2.634275901E-1
1.602715208E0,5.418592818E-2,-5.577132761E-2,2.727492213E-1
1.612669208E0,7.320904031E-2,-2.346721530E-2,2.615389395E-1
1.622622208E0,7.412522592E-2,-3.888866186E-2,1.843381512E-1
1.632576208E0,3.025554031E-2,-5.600609332E-2,1.016860038E-1
1.642529208E0,9.157836065E-3,-4.801441133E-2,4.192453623E-2
1.652483208E0,-6.240221635E-3,-2.574558288E-2,-6.956783295E-2
1.662437208E0,-9.964532554E-3,-2.459105015E-2,-1.870910203E-1
1.672390208E0,-2.625173248E-2,-1.542700142E-2,-2.365274745E-1
1.682344208E0,-4.217713594E-2,1.618275404E-2,-1.251824552E-1
1.692297208E0,-4.112054408E-2,9.651063323E-2,-1.627607560E-1
1.702251208E0,-9.201302804E-2,9.838788182E-2,-1.295082253E-1
1.712204208E0,-1.486642154E-1,7.909207016E-2,-4.201809168E-3
1.722158208E0,-2.238379202E-1,1.523199677E-4,1.117373675E-1
1.732111208E0,-2.371657712E-1,-8.428527474E-2,2.284776127E-1
1.742065208E0,-1.879868869E-1,-1.270795843E-1,2.665160894E-1
1.752018208E0,-8.191693313E-2,-1.300648803E-1,1.687319326E-1
1.761972208E0,-2.054009914E-2,-9.056079894E-2,-6.461758018E-3
1.771926208E0,7.775408104E-3,-2.498661429E-2,-1.852561641E-1
1.781879208E0,-2.173461221E-2,5.089621156E-2,-3.256846493E-1
1.791833208E0,-2.256637864E-2,9.719388038E-2,-3.302127331E-1
1.801786208E0,8.447984084E-3,1.227356878E-1,-2.063675362E-1
1.811740208E0,2.069673143E-2,1.555090392E-1,-2.513074815E-2
1.821693208E0,4.357783645E-2,1.170770448E-1,1.241808271E-1
1.831647208E0,2.416405722E-2,4.564248830E-2,2.762587202E-1
1.841602083E0,3.658712469E-2,-2.143004537E-2,3.612287039E-1
1.851555083E0,1.015882822E-1,-6.770023227E-2,3.610094333E-1
1.861509083E0,1.180936564E-1,-1.070666116E-1,2.447720486E-1
1.871462083E0,1.031106779E-1,-1.711985806E-1,2.693402946E-2
1.881416083E0,1.177284978E-1,-1.498626754E-1,-2.418846935E-1
1.891369083E0,1.704710408E-1,-6.258567274E-2,-3.854531336E-1
1.901323083E0,1.900684226E-1,7.454352111E-2,-4.729280645E-1
1.911276083E0,8.445586726E-2,1.189724198E-1,-4.283740354E-1
1.921230083E0,-2.377565593E-2,1.267381069E-1,-2.237741125E-1
1.931183083E0,-7.500464715E-2,1.320435780E-1,1.358033377E-1
1.941137083E0,-8.056410670E-2,9.804991275E-2,4.486252820E-1
1.951091083E0,-6.374349453E-2,2.296201587E-3,6.428703707E-1
1.961044083E0,-1.753718846E-2,-7.681107134E-2,6.460541797E-1
1.970998083E0,5.397162773E-2,-1.032825860E-1,4.831916821E-1
1.980951083E0,1.292885893E-1,-9.867965788E-2,1.742756778E-1
1.990905083E0,1.581825323E-1,-1.496068597E-2,-1.616287351E-1
2.000858083E0,8.034680955E-2,4.752470702E-2,-4.651682246E-1
2.010812083E0,3.140926905E-2,8.932849824E-2,-5.633587629E-1
2.020765083E0,1.270673051E-2,1.636229280E-1,-4.723772568E-1
2.030719083E0,-5.788758114E-2,1.571854359E-1,-2.445942932E-1
2.040673083E0,-1.527347546E-1,6.598962933E-2,2.170252562E-2
2.050626083E0,-1.941398388E-1,-4.116439819E-3,3.003381389E-1
2.060580083E0,-1.555614448E-1,-6.346714050E-2,4.993177181E-1
2.070533083E0,-6.514580302E-2,-1.058021513E-1,5.314844209E-1
