"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.110347083E0,-5.421529524E-3,2.933957614E-2,6.227365229E-4
2.120301083E0,-4.910242930E-2,-4.245814402E-3,3.918404691E-4
2.130254083E0,-7.567340881E-2,-2.741571702E-2,-1.392819220E-3
2.140208083E0,-7.232075930E-2,-3.630800918E-2,5.731261335E-4
2.150162083E0,-3.988796845E-2,-3.508185223E-2,6.523260847E-3
2.160115083E0,-1.815713476E-4,-2.114579454E-2,1.097073965E-2
2.170069083E0,2.776995860E-2,-1.467554830E-4,9.488997050E-3
2.180022083E0,3.743590415E-2,1.850469410E-2,3.374112770E-3
2.189976083E0,2.796311118E-2,2.246069163E-2,-2.030557487E-3
2.199929083E0,7.815576391E-4,8.949676529E-3,-7.312671281E-3
2.209883083E0,-2.708192728E-2,-1.164615341E-2,-7.616024464E-3
2.219836083E0,-4.362947866E-2,-2.876468748E-2,-6.734784693E-3
2.229790083E0,-3.950105980E-2,-4.087393731E-2,-4.949843511E-3
2.239744083E0,-1.712278463E-2,-3.560540453E-2,-1.055503031E-3
2.249697083E0,1.454223972E-2,-1.815395989E-2,-1.519236132E-3
2.259651083E0,3.921296448E-2,1.441312488E-3,-5.736618303E-3
2.269604083E0,4.760914668E-2,1.309808996E-2,-8.217593655E-3
2.279558083E0,3.589123860E-2,1.580359600E-2,-1.331701502E-2
2.289511083E0,1.791099459E-2,2.107519284E-2,-1.454545930E-2
2.299465083E0,-3.072177060E-5,1.608229801E-2,-9.443107992E-3
2.309418083E0,-1.825519279E-2,1.008286700E-2,-5.871595349E-3
2.319372083E0,-3.844701499E-2,-3.882216755E-3,-6.573071703E-3
2.329325083E0,-5.460384861E-2,-2.209172770E-2,-2.619044855E-3
2.339279083E0,-5.115212500E-2,-4.230884835E-2,-1.633772627E-5
2.349233083E0,-2.387047373E-2,-4.215298966E-2,-9.408253245E-4
2.359186083E0,1.695179008E-2,-2.148819342E-2,-1.022584504E-3
2.369140083E0,5.086857826E-2,1.132624969E-2,-6.752686575E-3
2.379093083E0,5.961919203E-2,3.039235249E-2,-2.469387092E-2
2.389047083E0,4.707599059E-2,2.307060361E-2,-3.119631484E-2
2.399000083E0,2.038579248E-2,2.376515605E-2,-3.201070800E-2
2.408954083E0,-8.044100367E-3,1.755729504E-2,-2.247773670E-2
2.418907083E0,-2.631658129E-2,3.682758659E-3,-2.675003139E-3
2.428861083E0,-2.665990964E-2,-1.551354863E-2,1.796402223E-2
2.438815083E0,-5.001486279E-3,-1.939617097E-2,3.001402505E-2
2.448768083E0,2.882018499E-2,-1.250149775E-2,4.658025876E-2
2.458722083E0,5.703184754E-2,2.570396522E-3,6.014879793E-2
2.468675083E0,6.632777303E-2,4.759256262E-3,5.973203108E-2
2.478629083E0,5.404927209E-2,-4.172186833E-3,7.502231002E-2
2.488582083E0,2.596283332E-2,-2.358661592E-2,8.069221675E-2
2.498536083E0,-7.319756784E-3,-5.057429150E-2,5.746226013E-2
2.508489083E0,-2.099925652E-2,-8.067791164E-2,2.481578290E-2
2.518443083E0,-1.513231173E-2,-1.285048276E-1,9.134558029E-3
2.528396083E0,-1.345196040E-3,-8.958144486E-2,9.471843019E-3
2.538350083E0,2.785450034E-2,-5.489057675E-2,1.909437776E-2
2.548304083E0,5.924390629E-2,-1.943430118E-2,2.906289324E-2
2.558257083E0,8.157877624E-2,-1.835039631E-2,3.391437605E-2
2.568211083E0,8.475293219E-2,-2.344876714E-2,4.158983007E-2
2.578164083E0,7.541429251E-2,-1.895787939E-2,3.738070279E-2
2.588118083E0,7.379885018E-2,1.708675548E-2,2.677433006E-2
2.598071083E0,5.539746583E-2,1.588726789E-2,1.588652842E-2
2.608025083E0,1.923288591E-2,2.329025650E-3,1.066971291E-2
2.617978083E0,-2.322082967E-2,-2.742833644E-2,1.114109252E-2
2.627932083E0,-6.397107989E-2,-5.812238902E-2,1.697688177E-2
2.637885083E0,-9.726218879E-2,-7.125709951E-2,2.352745831E-2
2.647839083E0,-1.149659753E-1,-7.994478941E-2,3.068742156E-2
2.657793083E0,-1.286309212E-1,-8.851777017E-2,3.625928983E-2
2.667746083E0,-1.380360872E-1,-9.416125715E-2,5.101883039E-2
2.677700083E0,-1.372957230E-1,-8.927036077E-2,6.041020155E-2
2.687653083E0,-1.218325570E-1,-6.212580949E-2,6.114740297E-2
2.697607083E0,-9.127438068E-2,-1.115423627E-2,4.676074162E-2
2.707560083E0,-5.502826720E-2,2.028847858E-2,2.115725540E-2
2.717514083E0,-1.884709485E-2,2.734718844E-2,-2.388016786E-3
2.727467083E0,9.077085182E-3,3.927693143E-2,-2.387998998E-2
2.737421083E0,3.946561739E-2,5.440821499E-2,-3.044920787E-2
2.747374083E0,6.935779750E-2,4.444534332E-2,-3.239247948E-2
2.757328083E0,9.211689979E-2,2.898649313E-2,-4.121899232E-2
2.767282083E0,9.427367151E-2,2.195460908E-2,-5.372217670E-2
2.777235083E0,6.901597977E-2,1.814975031E-2,-5.710492283E-2
2.787189083E0,2.206874825E-2,8.340651169E-3,-4.342051223E-2
2.797142083E0,-2.988632955E-2,5.161103327E-3,-2.536161430E-2
2.807096083E0,-6.630848348E-2,7.907024585E-3,-1.040855423E-4
2.817049083E0,-7.864318043E-2,1.018775627E-2,3.029216826E-2
2.827003083E0,-6.557773799E-2,2.445252147E-3,4.505193233E-2
2.836956083E0,-4.019274935E-2,-3.284006380E-3,3.890588880E-2
2.846909875E0,-2.148686908E-2,-2.384398598E-3,2.164299041E-2
2.856863875E0,-2.126715891E-2,3.675358370E-3,9.821879212E-4
2.866816875E0,-3.031951003E-2,4.462322220E-3,-1.721705683E-2
2.876770875E0,-3.650976345E-2,6.169674918E-3,-2.374339849E-2
2.886723875E0,-2.963367477E-2,1.680621132E-2,-1.148145460E-2
2.896677875E0,-6.854859181E-3,2.150828764E-2,1.070214435E-2
2.906630875E0,1.927301846E-2,3.066275269E-2,2.466350794E-2
2.916584875E0,3.215020150E-2,3.451794386E-2,2.029619180E-2
2.926537875E0,2.800342813E-2,2.198317833E-2,1.168869715E-2
2.936491875E0,1.794546843E-2,6.592238322E-3,-1.241748687E-3
2.946444875E0,1.079031825E-2,6.363803055E-3,-1.495047845E-2
2.956398875E0,1.433099061E-2,1.961888745E-2,-2.269894630E-2
2.966352875E0,1.277987473E-2,3.781160340E-2,-2.174826339E-2
2.976305875E0,-1.212106785E-3,4.116772115E-2,-1.521952450E-2
2.986259875E0,-3.154458478E-2,2.586393803E-2,-6.156612188E-3
2.996212875E0,-6.339066476E-2,-4.961087368E-3,5.333063193E-3
3.006166875E0,-8.507844806E-2,-3.134827688E-2,2.592075989E-2
3.016119875E0,-8.415353298E-2,-4.066774249E-2,4.442946240E-2
3.026073875E0,-5.962681770E-2,-2.923180535E-2,5.386278406E-2
3.036026875E0,-2.457722463E-2,-8.782456629E-3,5.159030855E-2
3.045980875E0,5.829359870E-3,1.232920401E-2,3.554125875E-2
3.055933875E0,1.917499118E-2,2.739763446E-2,2.889573574E-3
3.065887875E0,1.552431658E-2,2.528482676E-2,-2.510548569E-2
3.075841875E0,-1.286355313E-3,1.460981183E-2,-3.925432637E-2
3.085794875E0,-1.744964905E-2,2.824055497E-3,-3.472865745E-2
3.095748875E0,-1.865180023E-2,-1.292392612E-3,-1.753528975E-2
3.105701875E0,-8.989141323E-3,-5.297654774E-3,7.196880877E-3
3.115655875E0,4.414548166E-3,-7.777589839E-3,2.062027901E-2
3.125608875E0,7.916871458E-3,-1.035446487E-2,2.172655612E-2
3.135562875E0,-3.319005249E-3,-1.186820678E-2,1.056471467E-2
3.145515875E0,-1.167406142E-2,-2.071539685E-2,2.290512901E-3
3.155469875E0,-1.673113741E-2,-3.625361249E-2,-6.907778792E-3
3.165422875E0,-1.466299500E-2,-4.403702170E-2,-9.845386259E-3
3.175376875E0,-4.892656580E-3,-4.728714377E-2,6.849737838E-5
3.185330875E0,1.147240214E-2,-4.309610277E-2,1.017114706E-2
3.195283875E0,3.291857243E-2,-1.863922924E-2,1.738671586E-2
3.205237875E0,5.278202519E-2,1.537546329E-2,1.701333933E-2
3.215190875E0,6.316888332E-2,3.466740251E-2,7.356717717E-3
3.225144875E0,5.923004448E-2,3.665041551E-2,-6.394342054E-3
3.235097875E0,3.630182520E-2,2.695570886E-2,-2.341007814E-2
3.245051875E0,2.823878312E-3,8.632211015E-3,-3.287373111E-2
3.255004875E0,-3.129441291E-2,-1.326855924E-2,-2.935489640E-2
3.264958875E0,-5.240246281E-2,-3.258925304E-2,-6.197891198E-3
3.274911875E0,-5.528187379E-2,-4.476362839E-2,2.131203003E-2
3.284865875E0,-4.063297063E-2,-5.029199645E-2,4.382820800E-2
3.294819875E0,-1.813565195E-2,-4.787943885E-2,5.834163725E-2
3.304772875E0,1.556379721E-5,-4.343529046E-2,5.548506230E-2
3.314726875E0,1.301977970E-2,-3.239569068E-2,3.555928916E-2
3.324679875E0,1.120441779E-2,-2.021036297E-2,1.084070746E-2
3.334633875E0,7.688212208E-4,-8.931610733E-3,-1.165874302E-2
3.344586875E0,-4.616784863E-3,-3.452164587E-3,-2.509041503E-2
3.354540875E0,-1.920867013E-3,-1.130953431E-3,-3.000261635E-2
3.364493875E0,1.155938115E-2,-3.127452452E-3,-2.488517389E-2
3.374447875E0,2.466666140E-2,-1.167912968E-2,-1.044604834E-2
3.384400875E0,2.451115847E-2,-2.082719281E-2,-6.059221923E-4
3.394354875E0,5.763036199E-3,-3.065558895E-2,8.593435399E-3
3.404308875E0,-2.060071751E-2,-4.054232314E-2,1.326298248E-2
3.414261875E0,-4.069773108E-2,-5.072198808E-2,2.391882241E-2
3.424215875E0,-5.119132996E-2,-5.559084937E-2,3.416476399E-2
3.434168875E0,-4.799207672E-2,-4.981099069E-2,3.519940004E-2
3.444122875E0,-3.346487880E-2,-3.615732118E-2,3.169124573E-2
3.454075875E0,-1.838739030E-2,-3.341799602E-2,2.888533846E-2
3.464029875E0,-4.511281382E-3,-3.443175927E-2,2.585651726E-2
3.473982875E0,8.413305506E-3,-3.126978874E-2,2.004097402E-2
3.483936875E0,1.850205846E-2,-2.224184759E-2,1.077140681E-2
3.493889875E0,2.425342053E-2,-8.308188058E-3,-3.923649900E-3
3.503843875E0,1.975065097E-2,6.112820469E-3,-1.984244771E-2
3.513796875E0,7.236725185E-3,2.210350335E-2,-3.057818301E-2
3.523750875E0,-5.070069805E-3,3.422132134E-2,-2.873858996E-2
3.533704875E0,-1.554430928E-3,3.431772813E-2,-2.400508709E-2
3.543657875E0,1.456390228E-2,2.281757817E-2,-2.150433138E-2
3.553611875E0,3.411550075E-2,2.656384604E-3,-1.826060191E-2
3.563564875E0,4.150113091E-2,-2.145351097E-2,-1.323715877E-2
3.573518875E0,3.473430499E-2,-4.399690405E-2,-5.810135044E-3
3.583471875E0,2.519001812E-2,-5.811642483E-2,3.534955904E-3
3.593425875E0,2.072656155E-2,-5.960460380E-2,6.009298842E-3
3.603378875E0,2.227135561E-2,-5.424524471E-2,1.430826075E-2
3.613332875E0,1.619402319E-2,-4.842624068E-2,3.077219054E-2
3.623286875E0,1.685689786E-3,-5.102422088E-2,4.321432114E-2
3.633239875E0,-2.308703586E-2,-4.617806524E-2,4.920909554E-2
3.643193875E0,-4.491544887E-2,-3.300224990E-2,5.101387203E-2
3.653146875E0,-5.524744838E-2,-2.366254665E-2,3.641921654E-2
3.663100875E0,-4.858459160E-2,-2.026799321E-2,1.162209362E-2
3.673053875E0,-2.539697848E-2,-1.738991588E-2,-1.795124449E-2
3.683007875E0,4.357337020E-3,-6.125122774E-3,-4.191879183E-2
3.692960875E0,3.113915026E-2,6.414637435E-3,-5.362365022E-2
3.702914875E0,5.414283276E-2,1.849095896E-2,-5.076992512E-2
3.712867875E0,7.224273682E-2,2.261859179E-2,-3.497072309E-2
3.722821875E0,8.700541407E-2,2.594338730E-2,-1.796138845E-2
3.732774875E0,9.404734522E-2,3.165826574E-2,-7.816343568E-3
3.742728875E0,9.199672937E-2,3.127165139E-2,-8.119743317E-3
3.752682875E0,7.124857605E-2,1.947012171E-2,-1.246415824E-2
3.762635875E0,3.698670864E-2,-9.449925274E-4,-1.578595303E-2
