"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.664149250E0,3.090867996E1,-9.142448425E0,-4.031274414E1
2.674103250E0,3.098432541E1,-9.222389221E0,-4.089929199E1
2.684057250E0,3.081275177E1,-9.077690125E0,-4.015106201E1
2.694010250E0,3.082468796E1,-9.182945251E0,-4.097851562E1
2.703964250E0,3.083575821E1,-9.169166565E0,-4.039538574E1
2.713918250E0,3.087104797E1,-9.192726135E0,-4.031542969E1
2.723871250E0,3.101293564E1,-9.154342651E0,-4.069415283E1
2.733825250E0,3.116255188E1,-9.232978821E0,-3.997290039E1
2.743779250E0,3.102574158E1,-9.238052368E0,-4.071252441E1
2.753732250E0,3.091954041E1,-9.272926331E0,-4.029901123E1
2.763686250E0,3.092937469E1,-9.168388367E0,-4.003942871E1
2.773640250E0,3.083404922E1,-9.052337646E0,-4.041699219E1
2.783593250E0,3.089080048E1,-9.122039795E0,-4.002362061E1
2.793547250E0,3.102445221E1,-9.195327759E0,-4.051568604E1
2.803501250E0,3.085052109E1,-9.158584595E0,-4.031951904E1
2.813454250E0,3.090483093E1,-9.107238770E0,-4.006811523E1
2.823408250E0,3.106130981E1,-9.063636780E0,-4.054406738E1
2.833362250E0,3.090464401E1,-9.213790894E0,-4.012036133E1
2.843315250E0,3.083182526E1,-9.120491028E0,-4.036468506E1
2.853269250E0,3.074502563E1,-9.107299805E0,-4.033099365E1
2.863223250E0,3.085335541E1,-9.102844238E0,-4.009985352E1
2.873176250E0,3.088763809E1,-9.150657654E0,-4.054455566E1
2.883130250E0,3.106991196E1,-9.114059448E0,-4.016125488E1
2.893084250E0,3.081921768E1,-9.161682129E0,-4.079125977E1
2.903037250E0,3.080850601E1,-9.134162903E0,-4.038043213E1
2.912991000E0,3.086370468E1,-9.145347595E0,-4.013903809E1
2.922944000E0,3.077192307E1,-9.037750244E0,-4.084161377E1
2.932898000E0,3.084703827E1,-9.051139832E0,-4.039483643E1
2.942852000E0,3.097655106E1,-9.104553223E0,-4.082904053E1
2.952805000E0,3.089657593E1,-9.132545471E0,-4.070361328E1
2.962759000E0,3.100643539E1,-9.095909119E0,-4.008435059E1
2.972713000E0,3.084782791E1,-9.055870056E0,-4.069348145E1
2.982666000E0,3.078866959E1,-9.095962524E0,-4.034606934E1
2.992620000E0,3.089876556E1,-9.076820374E0,-4.071734619E1
3.002574000E0,3.086222458E1,-9.155227661E0,-4.035998535E1
3.012527000E0,3.086794662E1,-9.094482422E0,-4.012512207E1
3.022481000E0,3.089553452E1,-9.017745972E0,-4.069622803E1
3.032435000E0,3.086856461E1,-9.163444519E0,-4.032409668E1
3.042388000E0,3.095079041E1,-9.032089233E0,-4.069158936E1
3.052342000E0,3.084679413E1,-9.101333618E0,-4.046704102E1
3.062296000E0,3.079140091E1,-9.075088501E0,-4.021093750E1
3.072249000E0,3.076527786E1,-9.104949951E0,-4.098870850E1
3.082203000E0,3.071913147E1,-9.164131165E0,-4.015539551E1
3.092157000E0,3.090597916E1,-9.172592163E0,-4.065747070E1
3.102110000E0,3.090597916E1,-9.172592163E0,-4.065747070E1
3.112064000E0,3.097266388E1,-9.228889465E0,-4.034899902E1
3.122018000E0,3.104653931E1,-9.224227905E0,-4.020849609E1
3.131971000E0,3.083597946E1,-9.053527832E0,-4.057470703E1
3.141925000E0,3.078616333E1,-9.095130920E0,-4.021331787E1
3.151879000E0,3.082482910E1,-9.132278442E0,-4.061932373E1
3.161832000E0,3.084952164E1,-9.109611511E0,-4.045434570E1
3.171786000E0,3.085501099E1,-9.110427856E0,-4.021691895E1
3.181740000E0,3.108397293E1,-9.198448181E0,-4.080749512E1
3.191693000E0,3.098046494E1,-9.268768311E0,-4.037506104E1
3.201647000E0,3.084411621E1,-9.218528748E0,-4.078131104E1
3.211601000E0,3.089834595E1,-9.257476807E0,-4.071264648E1
3.221554000E0,3.081058121E1,-9.119712830E0,-4.041064453E1
3.231508000E0,3.099906540E1,-9.054458618E0,-4.069964600E1
3.241462000E0,3.083027267E1,-9.162300110E0,-4.007165527E1
3.251415000E0,3.083604050E1,-9.125358582E0,-4.080395508E1
3.261369000E0,3.095747375E1,-9.293060303E0,-4.076074219E1
3.271323000E0,3.090783691E1,-9.189384460E0,-4.054864502E1
3.281276000E0,3.083416367E1,-9.249824524E0,-4.109851074E1
3.291230000E0,3.080197525E1,-9.157737732E0,-4.045977783E1
3.301184000E0,3.089853668E1,-9.131843567E0,-4.116528320E1
3.311137000E0,3.089548492E1,-9.223724365E0,-4.083227539E1
3.321091000E0,3.087483215E1,-9.174377441E0,-4.032360840E1
3.331045000E0,3.077164841E1,-9.084327698E0,-4.075817871E1
3.340998000E0,3.077373123E1,-9.088447571E0,-4.018292236E1
3.350952000E0,3.086878967E1,-9.020423889E0,-4.077758789E1
3.360906000E0,3.105537033E1,-9.183296204E0,-4.072570801E1
3.370859000E0,3.089234924E1,-9.014869690E0,-4.060302734E1
3.380813000E0,3.103102112E1,-9.099876404E0,-4.113214111E1
3.390766000E0,3.110198212E1,-9.024017334E0,-4.048712158E1
3.400720000E0,3.103718567E1,-9.126991272E0,-4.102899170E1
3.410674000E0,3.092749786E1,-9.228713989E0,-4.123101807E1
3.420627000E0,3.101939774E1,-9.127433777E0,-4.028332520E1
3.430581000E0,3.101715088E1,-9.184532166E0,-4.113452148E1
3.440535000E0,3.110028076E1,-9.209297180E0,-4.024810791E1
3.450488000E0,3.105069351E1,-9.261459351E0,-4.081066895E1
3.460442000E0,3.095340347E1,-9.306838989E0,-4.084692383E1
3.470396000E0,3.096966171E1,-9.397682190E0,-4.061248779E1
3.480349000E0,3.098108673E1,-9.433937073E0,-4.138146973E1
3.490303000E0,3.095210648E1,-9.359710693E0,-4.046270752E1
3.500257000E0,3.105023193E1,-9.312629700E0,-4.109930420E1
3.510210000E0,3.101073074E1,-9.390190125E0,-4.126202393E1
3.520164000E0,3.103607941E1,-9.487251282E0,-4.078649902E1
3.530118000E0,3.086373901E1,-9.552001953E0,-4.123345947E1
3.540071000E0,3.093099976E1,-9.670295715E0,-4.061932373E1
3.550025000E0,3.098985291E1,-9.650588989E0,-4.113757324E1
3.559979000E0,3.104280090E1,-9.735702515E0,-4.111108398E1
3.569932000E0,3.115519714E1,-9.676681519E0,-4.065686035E1
3.579886000E0,3.107680511E1,-9.798088074E0,-4.113684082E1
3.589840000E0,3.097837448E1,-9.798995972E0,-4.062988281E1
3.599793000E0,3.110997391E1,-9.811759949E0,-4.128466797E1
3.609747000E0,3.108177948E1,-9.869857788E0,-4.137219238E1
3.619701000E0,3.126567078E1,-9.830978394E0,-4.093127441E1
3.629654000E0,3.107873917E1,-9.901496887E0,-4.138610840E1
3.639608000E0,3.111613846E1,-9.941123962E0,-4.073052979E1
3.649562000E0,3.088198090E1,-9.744148254E0,-4.126196289E1
3.659515000E0,3.093827438E1,-9.750190735E0,-4.143273926E1
3.669469000E0,3.107141495E1,-9.692024231E0,-4.092590332E1
3.679423000E0,3.111682892E1,-9.763038635E0,-4.126055908E1
3.689376000E0,3.092183685E1,-9.856811523E0,-4.083154297E1
3.699330000E0,3.083538055E1,-9.775238037E0,-4.111749268E1
3.709284000E0,3.101725006E1,-9.874572754E0,-4.147827148E1
3.719237000E0,3.106482315E1,-9.844253540E0,-4.082995605E1
3.729191000E0,3.088813782E1,-9.836723328E0,-4.128875732E1
3.739144000E0,3.095334625E1,-9.915267944E0,-4.068878174E1
3.749098000E0,3.090899277E1,-9.936279297E0,-4.090808105E1
3.759052000E0,3.080559540E1,-9.882766724E0,-4.089251709E1
3.769005000E0,3.098550034E1,-9.889656067E0,-4.072399902E1
3.778959000E0,3.105487061E1,-9.891059875E0,-4.098199463E1
3.788913000E0,3.112204361E1,-9.934257507E0,-4.056988525E1
3.798866000E0,3.100188446E1,-9.949241638E0,-4.106811523E1
3.808820000E0,3.100341415E1,-9.916130066E0,-4.127587891E1
3.818774000E0,3.110236359E1,-9.960510254E0,-4.064343262E1
3.828727000E0,3.099241638E1,-9.951560974E0,-4.115216064E1
3.838681000E0,3.102522278E1,-1.002323151E1,-4.063415527E1
3.848635000E0,3.099328995E1,-1.004719543E1,-4.126855469E1
3.858588000E0,3.093587494E1,-1.008756256E1,-4.121203613E1
3.868542000E0,3.092995834E1,-1.006620789E1,-4.056848145E1
3.878496000E0,3.103149796E1,-1.010966492E1,-4.115826416E1
3.888449000E0,3.101462555E1,-1.011439514E1,-4.078936768E1
3.898403000E0,3.090956879E1,-1.007266235E1,-4.099066162E1
3.908356750E0,3.093939209E1,-9.995475769E0,-4.107250977E1
3.918309750E0,3.097734070E1,-9.892684937E0,-4.011840820E1
3.928263750E0,3.090786743E1,-9.988098145E0,-4.068664551E1
3.938217750E0,3.086143494E1,-1.000963593E1,-4.036041260E1
3.948170750E0,3.090969849E1,-9.914367676E0,-4.061645508E1
3.958124750E0,3.094535446E1,-9.891868591E0,-4.081921387E1
3.968078750E0,3.101357651E1,-9.898468018E0,-4.031597900E1
3.978031750E0,3.071981430E1,-1.003324890E1,-4.105010986E1
3.987985750E0,3.075348663E1,-1.002803040E1,-4.071911621E1
3.997939750E0,3.087700272E1,-1.005990601E1,-4.117730713E1
4.007892750E0,3.082005692E1,-1.005426025E1,-4.119213867E1
4.017846750E0,3.098497772E1,-1.006137848E1,-4.071765137E1
4.027799750E0,3.095343018E1,-1.005181885E1,-4.100494385E1
