"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.213747250E0,-1.514849854E-1,2.270328827E0,9.424850922E0
2.223700250E0,-1.957928467E-1,2.254611511E0,9.476493530E0
2.233654250E0,-1.814227295E-1,2.212698669E0,9.513316956E0
2.243608250E0,-1.755848694E-1,2.186952209E0,9.564061432E0
2.253561250E0,-1.974394226E-1,2.179018707E0,9.629026337E0
2.263515250E0,-1.910028076E-1,2.165397034E0,9.622589722E0
2.273469250E0,-1.806742859E-1,2.159110107E0,9.607920227E0
2.283422250E0,-1.749861145E-1,2.176174622E0,9.544601898E0
2.293376250E0,-1.667532349E-1,2.189047852E0,9.535021820E0
2.303330250E0,-1.510359192E-1,2.190694427E0,9.489366760E0
2.313283250E0,-1.332229614E-1,2.208208008E0,9.489815826E0
2.323237250E0,-1.531315613E-1,2.211950226E0,9.497749329E0
2.333191250E0,-1.802252197E-1,2.190095673E0,9.524244232E0
2.343144250E0,-2.089654541E-1,2.176174622E0,9.566157074E0
2.353098250E0,-2.062710571E-1,2.186802521E0,9.573192444E0
2.363051250E0,-1.878593445E-1,2.190694427E0,9.538314972E0
2.373005250E0,-1.884580994E-1,2.199675751E0,9.526040497E0
2.382959250E0,-1.896556091E-1,2.217339020E0,9.527537384E0
2.392912250E0,-1.728904724E-1,2.230811005E0,9.592053223E0
2.402866250E0,-1.836680603E-1,2.221380615E0,9.648186493E0
2.412820250E0,-1.960922241E-1,2.201172638E0,9.665251007E0
2.422773250E0,-2.290237427E-1,2.186054077E0,9.626781006E0
2.432727250E0,-2.267784119E-1,2.193089447E0,9.545200653E0
2.442681250E0,-2.013313293E-1,2.189197540E0,9.449699249E0
2.452634250E0,-1.724414062E-1,2.215991821E0,9.400751038E0
2.462588250E0,-1.764830017E-1,2.235002289E0,9.433981934E0
2.472542250E0,-1.898052979E-1,2.214644623E0,9.528734894E0
2.482495250E0,-1.980381775E-1,2.175725555E0,9.630223846E0
2.492449250E0,-1.806742859E-1,2.128274231E0,9.723030853E0
2.502403250E0,-1.570234680E-1,2.109413452E0,9.769434357E0
2.512356250E0,-1.582209778E-1,2.128274231E0,9.763746185E0
2.522310250E0,-1.585203552E-1,2.159110107E0,9.666598206E0
2.532264250E0,-1.734892273E-1,2.214195557E0,9.512418823E0
2.542217250E0,-1.746867371E-1,2.245630188E0,9.379644928E0
2.552171250E0,-1.878593445E-1,2.262245636E0,9.330097961E0
2.562125250E0,-2.010319519E-1,2.262245636E0,9.325457611E0
2.572078250E0,-1.772314453E-1,2.226320343E0,9.364376678E0
2.582032250E0,-1.953437805E-1,2.183659058E0,9.480684814E0
2.591986250E0,-1.893562317E-1,2.142794037E0,9.593699799E0
2.601939250E0,-1.938468933E-1,2.143392792E0,9.725874939E0
2.611893250E0,-1.799258423E-1,2.118993530E0,9.731862488E0
2.621847250E0,-1.621128845E-1,2.122885437E0,9.697434082E0
2.631800250E0,-1.296304321E-1,2.168839874E0,9.577533417E0
2.641754250E0,-1.130149841E-1,2.210752716E0,9.503886566E0
2.651708250E0,-1.035845947E-1,2.229014740E0,9.437424774E0
2.661661250E0,-1.082249451E-1,2.258952484E0,9.417665863E0
2.671615250E0,-1.395098877E-1,2.273771667E0,9.457033997E0
2.681569250E0,-1.984872437E-1,2.247725830E0,9.533674622E0
2.691522250E0,-2.314187622E-1,2.235002289E0,9.591304779E0
2.701476250E0,-2.341131592E-1,2.184257813E0,9.638606415E0
2.711430250E0,-2.182461548E-1,2.158960419E0,9.664053497E0
2.721383250E0,-2.266287231E-1,2.148033142E0,9.637259216E0
2.731337250E0,-2.406994629E-1,2.164049835E0,9.567504272E0
2.741291250E0,-2.061213684E-1,2.165546722E0,9.529633026E0
2.751244250E0,-2.142045593E-1,2.188748474E0,9.519753571E0
2.761198250E0,-1.794767761E-1,2.196681976E0,9.529034271E0
2.771152250E0,-1.907034302E-1,2.193239136E0,9.532477112E0
2.781105250E0,-1.833686829E-1,2.205812988E0,9.542805634E0
2.791059250E0,-1.916015625E-1,2.204914856E0,9.555978241E0
2.801013250E0,-2.022294617E-1,2.186802521E0,9.576784973E0
2.810966250E0,-1.920506287E-1,2.194137268E0,9.581575012E0
2.820920250E0,-1.815724182E-1,2.190544739E0,9.571994934E0
2.830874250E0,-1.698966980E-1,2.193388824E0,9.534722443E0
2.840827250E0,-1.688488770E-1,2.196232910E0,9.517957306E0
2.850781250E0,-1.863624573E-1,2.197430420E0,9.554032288E0
2.860735250E0,-1.939965820E-1,2.179916840E0,9.555978241E0
2.870688250E0,-1.715432739E-1,2.161505127E0,9.547146606E0
2.880642250E0,-1.586700439E-1,2.183509369E0,9.545350342E0
2.890596250E0,-1.549278259E-1,2.177671509E0,9.544601898E0
2.900549250E0,-1.600172424E-1,2.175276489E0,9.542356567E0
2.910503000E0,-1.486408997E-1,2.175725555E0,9.531279602E0
2.920456000E0,-1.537303162E-1,2.183509369E0,9.567354584E0
2.930410000E0,-1.727407837E-1,2.192041626E0,9.591454468E0
2.940364000E0,-1.874102783E-1,2.184706879E0,9.584269409E0
2.950317000E0,-2.008822632E-1,2.168241119E0,9.563013611E0
2.960271000E0,-1.916015625E-1,2.157313843E0,9.527986450E0
2.970225000E0,-1.728904724E-1,2.154769135E0,9.522747345E0
2.980178000E0,-1.746867371E-1,2.159259796E0,9.525741119E0
2.990132000E0,-1.766326904E-1,2.161954193E0,9.533075867E0
3.000086000E0,-1.975891113E-1,2.165247345E0,9.563612366E0
3.010039000E0,-2.053729248E-1,2.169887695E0,9.608219604E0
3.019993000E0,-2.161505127E-1,2.172133026E0,9.607770538E0
3.029947000E0,-2.255809021E-1,2.170336761E0,9.574839020E0
3.039900000E0,-2.034269714E-1,2.168989563E0,9.581425323E0
3.049854000E0,-1.857637024E-1,2.171833649E0,9.542506256E0
3.059808000E0,-1.580712891E-1,2.188898163E0,9.527238007E0
3.069761000E0,-1.746867371E-1,2.204016724E0,9.520951080E0
3.079715000E0,-1.969903564E-1,2.207309875E0,9.523046722E0
3.089669000E0,-2.258802795E-1,2.188898163E0,9.550290070E0
