"Time (s)","X (hPa)"
2.254912190E2,1.026514130E3
2.265258200E2,1.026504288E3
2.275604320E2,1.026495590E3
2.285949940E2,1.026494675E3
2.296295910E2,1.026494675E3
2.306641960E2,1.026505203E3
2.316987930E2,1.026516342E3
2.327333840E2,1.026522751E3
2.337679280E2,1.026530304E3
2.348024840E2,1.026535110E3
2.358370090E2,1.026535110E3
2.368715400E2,1.026531754E3
2.379061160E2,1.026531754E3
2.389407350E2,1.026534424E3
2.399753530E2,1.026535339E3
2.410099410E2,1.026535339E3
2.420445160E2,1.026532516E3
2.430791040E2,1.026524734E3
2.441137060E2,1.026514435E3
2.451482910E2,1.026500931E3
2.461828460E2,1.026488495E3
2.472174340E2,1.026484985E3
2.482519900E2,1.026484985E3
2.492865520E2,1.026491470E3
2.503210880E2,1.026505051E3
2.513556110E2,1.026527710E3
2.523901760E2,1.026556320E3
2.534247470E2,1.026589127E3
2.544592880E2,1.026623611E3
2.554938260E2,1.026661224E3
2.565284340E2,1.026701584E3
2.575630130E2,1.026744308E3
2.585976140E2,1.026790848E3
2.596322360E2,1.026840057E3
2.606667760E2,1.026892090E3
2.617012920E2,1.026943970E3
2.627358080E2,1.026997147E3
2.637703700E2,1.027049713E3
2.648049170E2,1.027105408E3
2.658394840E2,1.027166290E3
2.668740080E2,1.027217407E3
2.679085750E2,1.027261429E3
2.689431400E2,1.027280960E3
2.699776960E2,1.027280960E3
2.710122370E2,1.027264862E3
2.720467720E2,1.027234344E3
2.730812820E2,1.027204361E3
2.741157890E2,1.027204361E3
2.751503230E2,1.027217255E3
2.761848920E2,1.027238235E3
2.772194260E2,1.027275467E3
2.782540400E2,1.027279358E3
2.792886670E2,1.027279358E3
2.803233050E2,1.027242355E3
2.813579600E2,1.027192459E3
2.823925960E2,1.027135925E3
2.834272000E2,1.027077026E3
2.844618220E2,1.027033691E3
2.854964400E2,1.027013245E3
2.865310140E2,1.026995468E3
2.875655930E2,1.026976395E3
2.886001910E2,1.026957932E3
2.896348390E2,1.026946869E3
2.906694500E2,1.026925125E3
2.917040700E2,1.026904755E3
2.927386520E2,1.026890717E3
2.937732320E2,1.026890717E3
2.948078280E2,1.026892090E3
2.958424620E2,1.026896820E3
2.968770860E2,1.026908417E3
2.979116330E2,1.026920547E3
2.989461610E2,1.026932373E3
2.999806680E2,1.026937103E3
3.010151800E2,1.026944199E3
3.020497460E2,1.026944199E3
3.030843430E2,1.026934662E3
3.041189480E2,1.026916428E3
3.051535560E2,1.026901016E3
3.061881680E2,1.026889801E3
3.072227580E2,1.026889801E3
3.082573400E2,1.026911240E3
3.092918990E2,1.026944733E3
3.103265080E2,1.026979980E3
3.113611220E2,1.027020035E3
3.123957580E2,1.027049942E3
3.134304370E2,1.027063446E3
3.144650630E2,1.027065506E3
3.154997360E2,1.027069778E3
3.165344280E2,1.027069778E3
3.175691370E2,1.027064667E3
3.186037730E2,1.027063828E3
3.196383690E2,1.027062378E3
3.206729790E2,1.027051544E3
3.217075250E2,1.027038498E3
3.227420130E2,1.027024612E3
3.237765460E2,1.027024612E3
3.248111180E2,1.027027817E3
3.258456740E2,1.027039032E3
3.268802440E2,1.027039642E3
3.279148380E2,1.027043991E3
3.289494420E2,1.027046967E3
3.299840720E2,1.027053223E3
3.310187040E2,1.027067642E3
3.320532610E2,1.027093201E3
3.330878650E2,1.027111969E3
3.341224930E2,1.027125854E3
3.351571110E2,1.027133636E3
3.361917550E2,1.027133636E3
3.372263720E2,1.027090225E3
3.382609960E2,1.027037964E3
3.392956230E2,1.026978912E3
3.403302840E2,1.026915741E3
3.413649330E2,1.026852188E3
3.423995760E2,1.026831207E3
3.434342220E2,1.026825409E3
3.444688570E2,1.026825409E3
3.455034880E2,1.026825867E3
3.465381000E2,1.026826096E3
3.475727530E2,1.026826630E3
3.486073840E2,1.026827393E3
3.496420080E2,1.026827698E3
3.506766800E2,1.026828003E3
3.517114300E2,1.026828003E3
3.527461140E2,1.026828003E3
3.537807400E2,1.026827850E3
3.548153980E2,1.026827621E3
3.558500650E2,1.026827621E3
3.568847150E2,1.026828384E3
3.579193480E2,1.026829758E3
3.589539800E2,1.026830826E3
3.599885780E2,1.026830826E3
3.610232320E2,1.026830139E3
3.620579410E2,1.026828766E3
3.630926000E2,1.026827240E3
3.641272900E2,1.026827240E3
3.651619760E2,1.026831894E3
3.661965880E2,1.026837845E3
3.672312110E2,1.026843796E3
3.682658860E2,1.026849518E3
3.693005550E2,1.026854553E3
3.703352020E2,1.026854858E3
3.713698450E2,1.026854858E3
3.724045120E2,1.026854477E3
3.734391960E2,1.026853638E3
3.744739020E2,1.026853561E3
3.755085890E2,1.026853180E3
3.765433050E2,1.026852722E3
3.775780080E2,1.026852493E3
3.786126810E2,1.026852341E3
3.796473760E2,1.026852112E3
3.806820300E2,1.026848221E3
3.817166640E2,1.026823425E3
3.827513190E2,1.026790695E3
3.837859860E2,1.026748657E3
3.848206260E2,1.026706848E3
3.858552600E2,1.026667786E3
3.868899030E2,1.026648712E3
3.879245370E2,1.026641846E3
3.889592000E2,1.026640396E3
3.899938560E2,1.026638412E3
3.910284670E2,1.026632919E3
3.920630500E2,1.026628876E3
3.930976980E2,1.026628876E3
3.941322890E2,1.026630249E3
3.951668630E2,1.026649399E3
3.962015090E2,1.026670227E3
3.972361290E2,1.026691589E3
3.982707670E2,1.026716461E3
3.993054110E2,1.026731186E3
4.003400300E2,1.026736450E3
4.013746920E2,1.026744003E3
4.024092910E2,1.026752243E3
4.034439580E2,1.026752243E3
4.044785730E2,1.026749725E3
4.055131840E2,1.026747360E3
4.065477980E2,1.026746368E3
4.075824230E2,1.026746368E3
4.086170310E2,1.026748047E3
4.096516380E2,1.026756134E3
4.106862210E2,1.026823120E3
4.117208080E2,1.026839218E3
4.127554140E2,1.026839218E3
4.137900040E2,1.026828613E3
4.148245710E2,1.026808777E3
4.158591940E2,1.026706924E3
4.168938220E2,1.026619568E3
4.179284180E2,1.026540146E3
4.189630910E2,1.026451797E3
4.199977520E2,1.026356583E3
4.210324250E2,1.026267014E3
4.220670750E2,1.026195602E3
4.231017070E2,1.026129532E3
4.241363700E2,1.026083527E3
4.251710280E2,1.026051254E3
4.262057450E2,1.026024704E3
4.272403850E2,1.026009827E3
4.282750850E2,1.026002274E3
4.293097620E2,1.026002274E3
4.303444580E2,1.026015091E3
4.313791450E2,1.026041946E3
4.324138130E2,1.026074753E3
4.334484980E2,1.026127701E3
4.344831040E2,1.026184311E3
4.355177500E2,1.026242065E3
4.365524410E2,1.026313858E3
4.375871540E2,1.026388779E3
4.386218440E2,1.026441879E3
4.396565360E2,1.026494217E3
4.406912410E2,1.026553726E3
4.417259850E2,1.026607666E3
4.427606920E2,1.026662140E3
4.437953830E2,1.026736145E3
4.448300760E2,1.026810150E3
4.458647770E2,1.026875916E3
4.468994260E2,1.026934128E3
4.479340850E2,1.026976776E3
4.489687320E2,1.026998215E3
4.500034560E2,1.027012253E3
4.510382120E2,1.027015762E3
4.520729570E2,1.027015762E3
4.531077100E2,1.027017441E3
4.541424620E2,1.027023392E3
4.551771820E2,1.027023392E3
4.562119430E2,1.027017441E3
4.572466590E2,1.027009811E3
4.582814340E2,1.027001343E3
4.593161700E2,1.026990967E3
4.603508940E2,1.026981125E3
4.613855820E2,1.026981125E3
4.624202450E2,1.026986618E3
4.634549120E2,1.026989136E3
4.644895790E2,1.026998062E3
4.655242460E2,1.027016220E3
4.665589400E2,1.027023621E3
4.675936620E2,1.027035599E3
4.686284380E2,1.027060699E3
4.696632100E2,1.027081375E3
4.706979080E2,1.027089233E3
4.717326730E2,1.027097015E3
4.727674310E2,1.027097015E3
4.738021210E2,1.027047119E3
4.748368510E2,1.026980591E3
4.758715560E2,1.026919250E3
4.769062450E2,1.026854630E3
4.779409340E2,1.026798401E3
4.789756820E2,1.026778336E3
4.800103760E2,1.026773605E3
4.810450730E2,1.026773071E3
4.820797980E2,1.026773071E3
4.831144900E2,1.026773300E3
4.841491890E2,1.026773605E3
4.851838760E2,1.026773300E3
4.862185970E2,1.026773376E3
4.872533360E2,1.026773224E3
4.882880630E2,1.026772537E3
4.893227950E2,1.026772232E3
4.903575170E2,1.026771774E3
4.913922180E2,1.026771622E3
