"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.317344854E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741930593E0,3.367288416E0
1.327344850E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.741975252E0,3.367225526E0
1.337344868E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742055662E0,3.367112283E0
1.347344873E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742105828E0,3.367041632E0
1.357344875E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742178026E0,3.366939947E0
1.367344875E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742280586E0,3.366795491E0
1.377344881E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742357615E0,3.366686989E0
1.387344899E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742393712E0,3.366636143E0
1.397344902E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742437635E0,3.366574269E0
1.407344910E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742504427E0,3.366480178E0
1.417344916E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742547458E0,3.366419558E0
1.427344917E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742607747E0,3.366334622E0
1.437344923E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742685943E0,3.366224454E0
1.447344935E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742723029E0,3.366172203E0
1.457344939E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742767479E0,3.366109576E0
1.467344952E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742794186E0,3.366071946E0
1.477344952E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742830567E0,3.366020684E0
1.487344958E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742849248E0,3.365994362E0
1.497344962E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742877419E0,3.365954668E0
1.507344972E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742892715E0,3.365933114E0
1.517344975E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742919017E0,3.365896051E0
1.527344990E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742940221E0,3.365866173E0
1.537343106E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.742986945E0,3.365800331E0
1.547343050E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743015350E0,3.365760303E0
1.557343085E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743047365E0,3.365715188E0
1.567343073E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743085167E0,3.365661915E0
1.577343088E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743106082E0,3.365632441E0
1.587343144E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743124229E0,3.365606867E0
1.597343158E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743150812E0,3.365569403E0
1.607343159E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743180495E0,3.365527570E0
1.617343200E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743193260E0,3.365509580E0
1.627343216E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743232219E0,3.365454672E0
1.637343221E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743278180E0,3.365389894E0
1.647343253E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743324017E0,3.365325289E0
1.657343272E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743383228E0,3.365241831E0
1.667343291E2,5.233742786E1,4.889807653E0,3.423426894E0,0.000000000E0,1.302877485E2,4.743456329E0,3.365138792E0
1.677343354E2,5.233740960E1,4.889824814E0,2.364204014E0,1.234322489E-2,1.302877621E2,4.743506300E0,3.365068351E0
1.687343411E2,5.233740960E1,4.889824842E0,2.366411607E0,0.000000000E0,1.302877621E2,4.743560707E0,3.364991657E0
1.697343466E2,5.233740960E1,4.889824842E0,2.366411607E0,0.000000000E0,1.302877621E2,4.743576710E0,3.364969098E0
1.707343518E2,5.233740922E1,4.889830244E0,2.475752605E0,8.995593917E-3,1.302877664E2,4.743588304E0,3.364952754E0
1.717343559E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.743549364E0,3.365007646E0
1.727343606E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.743398919E0,3.365219714E0
