"Time (s)","X (hPa)"
6.342150232E2,1.008404770E3
6.352763352E2,1.008404770E3
6.363376622E2,1.008393097E3
6.373989532E2,1.008379822E3
6.384602402E2,1.008372498E3
6.395214992E2,1.008372498E3
6.405827862E2,1.008372498E3
6.416441032E2,1.008372116E3
6.427054442E2,1.008372116E3
6.437667722E2,1.008372116E3
6.448280642E2,1.008370361E3
6.458893502E2,1.008370209E3
6.469505712E2,1.008370209E3
6.480118132E2,1.008376083E3
6.490731302E2,1.008381119E3
6.501343602E2,1.008396530E3
6.511956082E2,1.008412704E3
6.522568222E2,1.008420563E3
6.533180392E2,1.008427734E3
6.543792922E2,1.008433838E3
6.554405592E2,1.008433838E3
6.565017542E2,1.008424454E3
6.575629432E2,1.008418350E3
6.586242012E2,1.008409119E3
6.596854622E2,1.008401413E3
6.607467362E2,1.008395462E3
6.618079932E2,1.008395462E3
6.628692452E2,1.008402252E3
6.639304712E2,1.008414764E3
6.649917162E2,1.008416977E3
6.660529212E2,1.008416977E3
6.671141602E2,1.008393631E3
6.681754202E2,1.008373337E3
6.692367192E2,1.008360367E3
6.702980312E2,1.008354797E3
6.713592972E2,1.008354797E3
6.724205002E2,1.008376312E3
6.734817292E2,1.008396072E3
6.745428972E2,1.008419876E3
6.756040222E2,1.008437805E3
6.766651882E2,1.008447037E3
6.777263712E2,1.008453751E3
6.787875252E2,1.008464279E3
6.798486812E2,1.008473511E3
6.809098692E2,1.008476868E3
6.819710502E2,1.008498611E3
6.830321732E2,1.008523026E3
6.840933022E2,1.008543930E3
6.851544572E2,1.008548737E3
6.862156432E2,1.008548737E3
6.872767982E2,1.008531036E3
6.883379702E2,1.008506622E3
6.893991312E2,1.008491898E3
6.904602872E2,1.008476715E3
6.915214262E2,1.008469315E3
6.925825722E2,1.008465347E3
6.936436992E2,1.008464966E3
6.947048282E2,1.008462448E3
6.957659642E2,1.008462143E3
6.968271092E2,1.008460999E3
6.978882432E2,1.008454971E3
6.989494112E2,1.008447647E3
7.000106332E2,1.008438034E3
7.010718452E2,1.008424759E3
7.021330732E2,1.008412323E3
7.031943152E2,1.008405380E3
7.042555332E2,1.008403625E3
7.053167442E2,1.008403625E3
7.063779702E2,1.008405304E3
7.074391662E2,1.008409729E3
7.085003202E2,1.008419876E3
7.095614592E2,1.008431931E3
7.106226292E2,1.008448257E3
7.116838342E2,1.008471756E3
7.127450352E2,1.008490143E3
7.138062432E2,1.008491821E3
7.148674162E2,1.008491821E3
7.159285962E2,1.008471832E3
7.169897672E2,1.008444748E3
7.180509542E2,1.008423691E3
7.191121552E2,1.008406372E3
7.201733432E2,1.008390579E3
7.212345582E2,1.008381424E3
7.222957602E2,1.008378372E3
7.233569592E2,1.008377762E3
7.244181652E2,1.008377762E3
7.254793532E2,1.008397141E3
7.265405332E2,1.008420868E3
7.276016772E2,1.008436508E3
7.286628302E2,1.008451614E3
7.297240342E2,1.008451614E3
7.307852032E2,1.008447189E3
7.318463382E2,1.008437500E3
7.329075202E2,1.008432999E3
7.339687242E2,1.008432999E3
7.350299482E2,1.008433838E3
7.360911372E2,1.008440475E3
7.371522912E2,1.008449631E3
7.382134312E2,1.008460541E3
7.392745952E2,1.008476105E3
7.403356812E2,1.008481140E3
7.413967882E2,1.008481293E3
7.424579292E2,1.008481293E3
7.435191082E2,1.008479843E3
7.445803372E2,1.008476715E3
7.456415032E2,1.008476715E3
7.467026412E2,1.008486862E3
7.477637932E2,1.008499069E3
7.488249252E2,1.008508301E3
7.498860792E2,1.008518829E3
7.509473242E2,1.008529510E3
7.520085362E2,1.008539276E3
7.530697472E2,1.008548508E3
7.541309312E2,1.008562546E3
7.551921232E2,1.008566666E3
7.562532862E2,1.008566666E3
7.573144642E2,1.008555832E3
7.583756342E2,1.008536835E3
7.594368132E2,1.008517990E3
7.604980062E2,1.008492355E3
7.615592142E2,1.008468933E3
7.626204212E2,1.008450775E3
7.636816282E2,1.008438187E3
7.647428002E2,1.008426895E3
7.658040372E2,1.008405762E3
7.668652452E2,1.008373413E3
7.679264382E2,1.008339005E3
7.689876022E2,1.008326416E3
7.700487922E2,1.008326416E3
7.711099972E2,1.008344269E3
7.721711952E2,1.008380051E3
7.732323882E2,1.008419647E3
7.742935952E2,1.008445816E3
7.753547932E2,1.008464127E3
7.764159412E2,1.008480682E3
7.774770752E2,1.008502045E3
7.785382102E2,1.008525391E3
7.795993772E2,1.008545380E3
7.806605562E2,1.008557968E3
7.817217832E2,1.008557968E3
7.827829832E2,1.008556137E3
7.838442022E2,1.008550873E3
7.849053992E2,1.008550186E3
7.859665572E2,1.008546677E3
7.870277162E2,1.008546677E3
7.880888932E2,1.008550186E3
7.891501052E2,1.008554230E3
7.902112202E2,1.008554230E3
7.912723622E2,1.008550644E3
7.923334642E2,1.008547668E3
7.933945912E2,1.008545151E3
7.944557092E2,1.008545151E3
7.955168732E2,1.008549881E3
7.965780112E2,1.008555603E3
7.976391992E2,1.008558578E3
7.987003602E2,1.008565521E3
7.997614842E2,1.008581161E3
8.008226642E2,1.008589935E3
8.018838342E2,1.008599930E3
8.029450112E2,1.008617706E3
8.040062052E2,1.008635025E3
8.050673552E2,1.008635864E3
8.061284522E2,1.008645096E3
8.071895992E2,1.008656693E3
8.082507652E2,1.008661957E3
8.093119072E2,1.008661957E3
8.103730202E2,1.008650208E3
8.114341542E2,1.008623047E3
8.124953112E2,1.008588028E3
8.135564942E2,1.008528290E3
8.146176732E2,1.008487473E3
8.156788432E2,1.008447189E3
8.167400022E2,1.008420105E3
8.178011862E2,1.008392715E3
8.188623462E2,1.008385544E3
8.199234852E2,1.008385544E3
8.209846502E2,1.008394623E3
8.220458452E2,1.008407440E3
8.231070252E2,1.008412933E3
8.241681492E2,1.008421173E3
8.252292942E2,1.008421326E3
8.262904462E2,1.008421326E3
8.273516392E2,1.008421326E3
8.284127792E2,1.008427048E3
8.294739572E2,1.008437805E3
8.305351232E2,1.008449783E3
8.315963332E2,1.008465576E3
8.326575032E2,1.008478241E3
8.337186252E2,1.008486557E3
8.347797762E2,1.008491898E3
8.358409152E2,1.008492279E3
8.369020472E2,1.008500290E3
8.379631662E2,1.008516769E3
8.390242872E2,1.008531189E3
8.400854052E2,1.008547440E3
8.411465352E2,1.008566360E3
8.422077092E2,1.008569946E3
8.432688322E2,1.008569946E3
8.443299482E2,1.008562546E3
8.453910662E2,1.008551483E3
8.464522002E2,1.008541336E3
8.475133372E2,1.008535080E3
8.485744912E2,1.008530884E3
8.496356622E2,1.008530807E3
8.506968192E2,1.008530579E3
8.517579802E2,1.008526611E3
8.528191512E2,1.008518829E3
8.538803202E2,1.008508682E3
8.549414582E2,1.008496552E3
8.560026312E2,1.008484344E3
8.570638192E2,1.008479462E3
8.581250502E2,1.008477402E3
8.591862232E2,1.008477402E3
8.602473932E2,1.008480911E3
8.613085922E2,1.008482971E3
8.623697782E2,1.008486862E3
8.634309562E2,1.008482971E3
8.644921132E2,1.008482971E3
8.655532432E2,1.008475418E3
8.666143842E2,1.008462601E3
8.676755452E2,1.008454437E3
8.687367072E2,1.008435669E3
8.697978762E2,1.008428955E3
8.708590142E2,1.008428955E3
8.719201292E2,1.008428955E3
8.729812322E2,1.008425751E3
8.740422972E2,1.008425751E3
8.751033952E2,1.008426666E3
8.761644892E2,1.008426666E3
8.772256282E2,1.008426666E3
8.782867572E2,1.008439941E3
8.793478742E2,1.008445587E3
8.804089862E2,1.008445587E3
8.814701382E2,1.008446198E3
8.825312482E2,1.008443604E3
8.835923772E2,1.008447495E3
8.846535432E2,1.008450165E3
8.857147572E2,1.008462143E3
8.867758952E2,1.008488693E3
8.878370282E2,1.008511505E3
8.888981912E2,1.008520660E3
8.899593102E2,1.008520660E3
8.910204182E2,1.008515091E3
8.920815532E2,1.008496323E3
8.931427272E2,1.008476334E3
8.942039202E2,1.008464050E3
8.952650842E2,1.008459625E3
8.963262132E2,1.008452530E3
