"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.882130066E2,5.233487411E1,4.868912485E0,3.190402305E-1,1.722873391E-1,6.150815304E0,4.743305736E0,3.365351056E0
1.892130066E2,5.233488886E1,4.868909227E0,1.581523223E-1,1.042288450E0,6.226623357E0,4.741660719E0,3.367668431E0
1.902130046E2,5.233488377E1,4.868916245E0,-4.211852979E-2,2.888882973E-1,7.629751984E1,4.740476175E0,3.369335641E0
1.912130040E2,5.233487557E1,4.868918008E0,3.369742343E-1,2.750788656E-1,1.043878440E2,4.741223523E0,3.368283916E0
1.922130038E2,5.233486893E1,4.868911777E0,4.740217989E-1,1.695841672E-1,1.043878433E2,4.742449083E0,3.366558142E0
1.932130026E2,5.233486527E1,4.868905095E0,3.410009528E-1,1.353392723E-1,1.043878407E2,4.743092141E0,3.365652087E0
1.942130015E2,5.233485468E1,4.868907533E0,8.485702891E-2,6.006551307E-1,1.434215133E2,4.742890918E0,3.365935645E0
1.952130002E2,5.233484124E1,4.868909499E0,3.186578816E-1,1.059174375E0,1.664186399E2,4.742063891E0,3.367100694E0
1.962129993E2,5.233484017E1,4.868911384E0,4.050633702E-1,5.101085937E-1,1.627201199E2,4.742269771E0,3.366810724E0
1.972129983E2,5.233485119E1,4.868909686E0,2.813192168E-1,7.562739518E-2,1.636562042E2,4.742375740E0,3.366661458E0
1.982129977E2,5.233486023E1,4.868907740E0,3.611342553E-1,1.504198767E-1,1.636562028E2,4.745215801E0,3.362657288E0
1.992129971E2,5.233487082E1,4.868905103E0,4.632869475E-1,8.815774299E-2,1.636562009E2,4.744866611E0,3.363149993E0
2.002129962E2,5.233487426E1,4.868908524E0,1.875824975E-1,8.472343999E-2,1.636562039E2,4.743593647E0,3.364945222E0
2.012129952E2,5.233487195E1,4.868908131E0,3.910832573E-2,3.568448517E-1,1.636562035E2,4.744528943E0,3.363626339E0
2.022129942E2,5.233486619E1,4.868907982E0,3.182082232E-1,6.827134671E-1,1.684331574E2,4.744945969E0,3.363038029E0
2.032129946E2,5.233485406E1,4.868905438E0,1.469233586E-1,1.025832478E0,1.777895969E2,4.743196805E0,3.365504583E0
2.042129931E2,5.233484432E1,4.868907804E0,-8.746005222E-2,1.012171748E0,1.755715288E2,4.741362535E0,3.368088233E0
2.052129912E2,5.233483701E1,4.868911503E0,1.283444045E-1,8.647329963E-1,1.702866804E2,4.743277876E0,3.365390323E0
2.062129905E2,5.233484307E1,4.868915811E0,3.639180027E-1,8.129527758E-2,1.479879098E2,4.742738014E0,3.366151091E0
2.072129900E2,5.233485026E1,4.868909527E0,3.767513009E-1,7.594324710E-2,1.479879049E2,4.744651437E0,3.363453549E0
2.082129884E2,5.233485964E1,4.868906047E0,3.861561716E-1,7.778032822E-2,1.479879029E2,4.745120248E0,3.362792124E0
2.092129877E2,5.233486887E1,4.868902465E0,4.422886865E-1,8.459549040E-2,1.479879008E2,4.744492324E0,3.363677990E0
2.102129871E2,5.233487146E1,4.868907343E0,4.189367257E-1,2.446012018E-1,1.479879056E2,4.744389212E0,3.363823426E0
